Date,Births
01-Jan-1978,7701
02-Jan-1978,7527
03-Jan-1978,8825
04-Jan-1978,8859
05-Jan-1978,9043
06-Jan-1978,9208
07-Jan-1978,8084
08-Jan-1978,7611
09-Jan-1978,9172
10-Jan-1978,9089
11-Jan-1978,9210
12-Jan-1978,9259
13-Jan-1978,9138
14-Jan-1978,8299
15-Jan-1978,7771
16-Jan-1978,9458
17-Jan-1978,9339
18-Jan-1978,9120
19-Jan-1978,9226
20-Jan-1978,9305
21-Jan-1978,7954
22-Jan-1978,7560
23-Jan-1978,9252
24-Jan-1978,9416
25-Jan-1978,9090
26-Jan-1978,9387
27-Jan-1978,8983
28-Jan-1978,7946
29-Jan-1978,7527
30-Jan-1978,9184
31-Jan-1978,9152
01-Feb-1978,9159
02-Feb-1978,9218
03-Feb-1978,9167
04-Feb-1978,8065
05-Feb-1978,7804
06-Feb-1978,9225
07-Feb-1978,9328
08-Feb-1978,9139
09-Feb-1978,9247
10-Feb-1978,9527
11-Feb-1978,8144
12-Feb-1978,7950
13-Feb-1978,8966
14-Feb-1978,9859
15-Feb-1978,9285
16-Feb-1978,9103
17-Feb-1978,9238
18-Feb-1978,8167
19-Feb-1978,7695
20-Feb-1978,9021
21-Feb-1978,9252
22-Feb-1978,9335
23-Feb-1978,9268
24-Feb-1978,9552
25-Feb-1978,8313
26-Feb-1978,7881
27-Feb-1978,9262
28-Feb-1978,9705
01-Mar-1978,9132
02-Mar-1978,9304
03-Mar-1978,9431
04-Mar-1978,8008
05-Mar-1978,7791
06-Mar-1978,9294
07-Mar-1978,9573
08-Mar-1978,9212
09-Mar-1978,9218
10-Mar-1978,9583
11-Mar-1978,8144
12-Mar-1978,7870
13-Mar-1978,9022
14-Mar-1978,9525
15-Mar-1978,9284
16-Mar-1978,9327
17-Mar-1978,9480
18-Mar-1978,7965
19-Mar-1978,7729
20-Mar-1978,9135
21-Mar-1978,9663
22-Mar-1978,9307
23-Mar-1978,9159
24-Mar-1978,9157
25-Mar-1978,7874
26-Mar-1978,7589
27-Mar-1978,9100
28-Mar-1978,9293
29-Mar-1978,9195
30-Mar-1978,8902
31-Mar-1978,9318
01-Apr-1978,8069
02-Apr-1978,7691
03-Apr-1978,9114
04-Apr-1978,9439
05-Apr-1978,8852
06-Apr-1978,8969
07-Apr-1978,9077
08-Apr-1978,7890
09-Apr-1978,7445
10-Apr-1978,8870
11-Apr-1978,9023
12-Apr-1978,8606
13-Apr-1978,8724
14-Apr-1978,9012
15-Apr-1978,7527
16-Apr-1978,7193
17-Apr-1978,8702
18-Apr-1978,9205
19-Apr-1978,8720
20-Apr-1978,8582
21-Apr-1978,8892
22-Apr-1978,7787
23-Apr-1978,7304
24-Apr-1978,9017
25-Apr-1978,9077
26-Apr-1978,9019
27-Apr-1978,8839
28-Apr-1978,9047
29-Apr-1978,7750
30-Apr-1978,7135
01-May-1978,8900
02-May-1978,9422
03-May-1978,9051
04-May-1978,8672
05-May-1978,9101
06-May-1978,7718
07-May-1978,7388
08-May-1978,8987
09-May-1978,9307
10-May-1978,9273
11-May-1978,8903
12-May-1978,8975
13-May-1978,7762
14-May-1978,7382
15-May-1978,9195
16-May-1978,9200
17-May-1978,8913
18-May-1978,9044
19-May-1978,9000
20-May-1978,8064
21-May-1978,7570
22-May-1978,9089
23-May-1978,9210
24-May-1978,9196
25-May-1978,9180
26-May-1978,9514
27-May-1978,8005
28-May-1978,7781
29-May-1978,7780
30-May-1978,9630
31-May-1978,9600
01-Jun-1978,9435
02-Jun-1978,9303
03-Jun-1978,7971
04-Jun-1978,7399
05-Jun-1978,9127
06-Jun-1978,9606
07-Jun-1978,9328
08-Jun-1978,9075
09-Jun-1978,9362
10-Jun-1978,8040
11-Jun-1978,7581
12-Jun-1978,9201
13-Jun-1978,9264
14-Jun-1978,9216
15-Jun-1978,9175
16-Jun-1978,9350
17-Jun-1978,8233
18-Jun-1978,7777
19-Jun-1978,9543
20-Jun-1978,9672
21-Jun-1978,9266
22-Jun-1978,9405
23-Jun-1978,9598
24-Jun-1978,8122
25-Jun-1978,8091
26-Jun-1978,9348
27-Jun-1978,9857
28-Jun-1978,9701
29-Jun-1978,9630
30-Jun-1978,10080
01-Jul-1978,8209
02-Jul-1978,7976
03-Jul-1978,9284
04-Jul-1978,8433
05-Jul-1978,9675
06-Jul-1978,10184
07-Jul-1978,10241
08-Jul-1978,8773
09-Jul-1978,8102
10-Jul-1978,9877
11-Jul-1978,9852
12-Jul-1978,9705
13-Jul-1978,9984
14-Jul-1978,10438
15-Jul-1978,8859
16-Jul-1978,8416
17-Jul-1978,10026
18-Jul-1978,10357
19-Jul-1978,10015
20-Jul-1978,10386
21-Jul-1978,10332
22-Jul-1978,9062
23-Jul-1978,8563
24-Jul-1978,9960
25-Jul-1978,10349
26-Jul-1978,10091
27-Jul-1978,10192
28-Jul-1978,10307
29-Jul-1978,8677
30-Jul-1978,8486
31-Jul-1978,9890
01-Aug-1978,10145
02-Aug-1978,9824
03-Aug-1978,10128
04-Aug-1978,10051
05-Aug-1978,8738
06-Aug-1978,8442
07-Aug-1978,10206
08-Aug-1978,10442
09-Aug-1978,10142
10-Aug-1978,10284
11-Aug-1978,10162
12-Aug-1978,8951
13-Aug-1978,8532
14-Aug-1978,10127
15-Aug-1978,10502
16-Aug-1978,10053
17-Aug-1978,10377
18-Aug-1978,10355
19-Aug-1978,8904
20-Aug-1978,8477
21-Aug-1978,9967
22-Aug-1978,10229
23-Aug-1978,9900
24-Aug-1978,10152
25-Aug-1978,10173
26-Aug-1978,8782
27-Aug-1978,8453
28-Aug-1978,9998
29-Aug-1978,10387
30-Aug-1978,10063
31-Aug-1978,9849
01-Sep-1978,10114
02-Sep-1978,8580
03-Sep-1978,8355
04-Sep-1978,8481
05-Sep-1978,10023
06-Sep-1978,10703
07-Sep-1978,10292
08-Sep-1978,10371
09-Sep-1978,9023
10-Sep-1978,8630
11-Sep-1978,10154
12-Sep-1978,10425
13-Sep-1978,10149
14-Sep-1978,10265
15-Sep-1978,10265
16-Sep-1978,9170
17-Sep-1978,8711
18-Sep-1978,10304
19-Sep-1978,10711
20-Sep-1978,10488
21-Sep-1978,10499
22-Sep-1978,10349
23-Sep-1978,8735
24-Sep-1978,8647
25-Sep-1978,10414
26-Sep-1978,10498
27-Sep-1978,10344
28-Sep-1978,10175
29-Sep-1978,10368
30-Sep-1978,8648
01-Oct-1978,8686
02-Oct-1978,9927
03-Oct-1978,10378
04-Oct-1978,9928
05-Oct-1978,9949
06-Oct-1978,10052
07-Oct-1978,8605
08-Oct-1978,8377
09-Oct-1978,9765
10-Oct-1978,10351
11-Oct-1978,9873
12-Oct-1978,9824
13-Oct-1978,9755
14-Oct-1978,8554
15-Oct-1978,7873
16-Oct-1978,9531
17-Oct-1978,9938
18-Oct-1978,9388
19-Oct-1978,9502
20-Oct-1978,9625
21-Oct-1978,8411
22-Oct-1978,7936
23-Oct-1978,9425
24-Oct-1978,9576
25-Oct-1978,9328
26-Oct-1978,9501
27-Oct-1978,9537
28-Oct-1978,8415
29-Oct-1978,8155
30-Oct-1978,9457
31-Oct-1978,9333
01-Nov-1978,9321
02-Nov-1978,9245
03-Nov-1978,9774
04-Nov-1978,8246
05-Nov-1978,8011
06-Nov-1978,9507
07-Nov-1978,9769
08-Nov-1978,9501
09-Nov-1978,9609
10-Nov-1978,9652
11-Nov-1978,8352
12-Nov-1978,7967
13-Nov-1978,9606
14-Nov-1978,10014
15-Nov-1978,9536
16-Nov-1978,9568
17-Nov-1978,9835
18-Nov-1978,8432
19-Nov-1978,7868
20-Nov-1978,9592
21-Nov-1978,9950
22-Nov-1978,9548
23-Nov-1978,7915
24-Nov-1978,9037
25-Nov-1978,8275
26-Nov-1978,8068
27-Nov-1978,9825
28-Nov-1978,9814
29-Nov-1978,9438
30-Nov-1978,9396
01-Dec-1978,9592
02-Dec-1978,8528
03-Dec-1978,8196
04-Dec-1978,9767
05-Dec-1978,9881
06-Dec-1978,9402
07-Dec-1978,9480
08-Dec-1978,9398
09-Dec-1978,8335
10-Dec-1978,8093
11-Dec-1978,9686
12-Dec-1978,10063
13-Dec-1978,9509
14-Dec-1978,9524
15-Dec-1978,9951
16-Dec-1978,8507
17-Dec-1978,8172
18-Dec-1978,10196
19-Dec-1978,10605
20-Dec-1978,9998
21-Dec-1978,9398
22-Dec-1978,9008
23-Dec-1978,7939
24-Dec-1978,7964
25-Dec-1978,7846
26-Dec-1978,8902
27-Dec-1978,9907
28-Dec-1978,10177
29-Dec-1978,10401
30-Dec-1978,8474
31-Dec-1978,8028
