##  1	NOT NAMED	M = 28	SNBR =   61	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
06-Jul-1861 00:00:00	15.1	58.5	58	0
06-Jul-1861 06:00:00	15.5	59.3	58	0
06-Jul-1861 12:00:00	15.8	60.1	58	0
06-Jul-1861 18:00:00	16.2	60.9	58	0
07-Jul-1861 00:00:00	16.7	61.6	58	0
07-Jul-1861 06:00:00	17.4	62.4	58	0
07-Jul-1861 12:00:00	18.0	63.1	58	0
07-Jul-1861 18:00:00	18.6	63.8	58	0
08-Jul-1861 00:00:00	19.4	64.6	58	0
08-Jul-1861 06:00:00	20.2	65.5	58	0
08-Jul-1861 12:00:00	21.2	66.1	58	0
08-Jul-1861 18:00:00	22.1	66.6	58	0
09-Jul-1861 00:00:00	23.1	67.4	69	0
09-Jul-1861 06:00:00	24.0	67.9	69	0
09-Jul-1861 12:00:00	25.0	68.4	81	0
09-Jul-1861 18:00:00	26.0	68.9	81	0
10-Jul-1861 00:00:00	26.9	69.3	92	0
10-Jul-1861 06:00:00	27.8	69.6	92	0
10-Jul-1861 12:00:00	28.7	70.0	104	0
10-Jul-1861 18:00:00	29.5	70.1	104	0
11-Jul-1861 00:00:00	30.1	70.1	104	0
11-Jul-1861 06:00:00	30.7	70.1	104	0
11-Jul-1861 12:00:00	31.4	70.0	92	0
11-Jul-1861 18:00:00	32.5	69.6	92	0
12-Jul-1861 00:00:00	33.9	69.3	92	0
12-Jul-1861 06:00:00	35.0	68.8	92	0
12-Jul-1861 12:00:00	36.0	68.0	81	0
12-Jul-1861 18:00:00	37.0	67.0	81	0
##  2	NOT NAMED	M = 18	SNBR =   62	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
13-Aug-1861 12:00:00	20.5	70.0	46	0
13-Aug-1861 18:00:00	21.0	71.5	46	0
14-Aug-1861 00:00:00	21.5	73.0	58	0
14-Aug-1861 06:00:00	22.0	74.5	69	0
14-Aug-1861 12:00:00	22.5	76.0	81	0
14-Aug-1861 18:00:00	22.9	77.4	81	0
15-Aug-1861 00:00:00	23.2	78.7	92	0
15-Aug-1861 06:00:00	23.5	79.9	92	0
15-Aug-1861 12:00:00	23.7	80.8	92	0
15-Aug-1861 18:00:00	23.9	81.5	92	0
16-Aug-1861 00:00:00	24.2	82.0	92	0
16-Aug-1861 06:00:00	24.6	82.5	92	0
16-Aug-1861 12:00:00	25.0	83.0	81	0
16-Aug-1861 18:00:00	25.4	83.5	81	0
17-Aug-1861 00:00:00	25.8	84.0	69	0
17-Aug-1861 06:00:00	26.2	84.5	69	0
17-Aug-1861 12:00:00	26.6	85.0	58	0
17-Aug-1861 18:00:00	27.0	85.6	58	0
##  3	NOT NAMED	M = 24	SNBR =   63	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
25-Aug-1861 00:00:00	34.4	62.0	92	0
25-Aug-1861 06:00:00	35.0	61.8	92	0
25-Aug-1861 12:00:00	35.5	61.6	92	0
25-Aug-1861 18:00:00	36.2	61.2	92	0
26-Aug-1861 00:00:00	36.8	60.6	92	0
26-Aug-1861 06:00:00	37.4	59.9	92	0
26-Aug-1861 12:00:00	38.0	59.0	92	0
26-Aug-1861 18:00:00	38.5	58.0	92	0
27-Aug-1861 00:00:00	39.0	57.0	92	0
27-Aug-1861 06:00:00	39.7	55.8	92	0
27-Aug-1861 12:00:00	40.3	54.3	92	0
27-Aug-1861 18:00:00	40.8	52.5	92	0
28-Aug-1861 00:00:00	41.3	50.9	92	0
28-Aug-1861 06:00:00	41.7	49.3	92	0
28-Aug-1861 12:00:00	42.0	47.8	92	0
28-Aug-1861 18:00:00	42.3	46.3	92	0
29-Aug-1861 00:00:00	42.5	44.7	104	0
29-Aug-1861 06:00:00	43.0	43.3	104	0
29-Aug-1861 12:00:00	43.5	41.8	104	0
29-Aug-1861 18:00:00	44.3	39.9	104	0
30-Aug-1861 00:00:00	45.4	38.0	104	0
30-Aug-1861 06:00:00	46.5	36.3	104	0
30-Aug-1861 12:00:00	47.7	34.8	104	0
30-Aug-1861 18:00:00	49.0	32.7	104	0
##  4	NOT NAMED	M = 1	SNBR =   64	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
17-Sep-1861 12:00:00	28.5	50.0	81	0
##  5	NOT NAMED	M = 6	SNBR =   65	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
27-Sep-1861 06:00:00	28.5	77.5	81	0
27-Sep-1861 12:00:00	31.7	78.0	81	0
27-Sep-1861 18:00:00	35.2	77.1	69	0
28-Sep-1861 00:00:00	39.0	75.1	69	0
28-Sep-1861 06:00:00	42.0	72.6	58	0
28-Sep-1861 12:00:00	45.0	67.5	58	0
##  6	NOT NAMED	M = 16	SNBR =   66	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
06-Oct-1861 00:00:00	20.0	46.0	69	0
06-Oct-1861 06:00:00	21.0	47.0	69	0
06-Oct-1861 12:00:00	22.0	48.0	69	0
06-Oct-1861 18:00:00	23.0	49.0	69	0
07-Oct-1861 00:00:00	24.0	50.0	69	0
07-Oct-1861 06:00:00	25.0	51.0	69	0
07-Oct-1861 12:00:00	26.0	52.0	69	0
07-Oct-1861 18:00:00	27.2	52.8	69	0
08-Oct-1861 00:00:00	28.5	53.4	69	0
