##  1	ABLE	M = 39	SNBR =  804	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
15-May-1951 06:00:00	28.0	64.6	29	0
15-May-1951 12:00:00	30.0	66.5	29	0
15-May-1951 18:00:00	30.8	67.1	29	0
16-May-1951 00:00:00	31.4	68.5	29	0
16-May-1951 06:00:00	31.9	70.8	35	0
16-May-1951 12:00:00	31.8	73.2	35	0
16-May-1951 18:00:00	31.0	75.3	40	0
17-May-1951 00:00:00	30.1	77.1	46	0
17-May-1951 06:00:00	29.4	78.2	63	0
17-May-1951 12:00:00	28.7	78.6	75	0
17-May-1951 18:00:00	28.0	78.8	75	0
18-May-1951 00:00:00	27.3	78.7	81	0
18-May-1951 06:00:00	26.9	78.2	81	0
18-May-1951 12:00:00	27.0	77.7	86	0
18-May-1951 18:00:00	27.2	77.3	92	0
19-May-1951 00:00:00	27.4	77.0	92	0
19-May-1951 06:00:00	27.7	76.7	92	0
19-May-1951 12:00:00	28.1	76.3	92	0
19-May-1951 18:00:00	28.8	76.0	92	0
20-May-1951 00:00:00	29.7	75.8	92	0
20-May-1951 06:00:00	30.6	75.6	98	0
20-May-1951 12:00:00	31.5	75.4	104	0
20-May-1951 18:00:00	32.4	75.3	104	0
21-May-1951 00:00:00	33.2	75.2	109	0
21-May-1951 06:00:00	34.4	74.7	115	0
21-May-1951 12:00:00	35.5	74.2	115	0
21-May-1951 18:00:00	35.9	73.6	115	0
22-May-1951 00:00:00	36.2	73.0	109	0
22-May-1951 06:00:00	36.5	72.2	104	0
22-May-1951 12:00:00	36.6	71.2	98	0
22-May-1951 18:00:00	36.6	70.2	92	0
23-May-1951 00:00:00	36.5	69.0	81	0
23-May-1951 06:00:00	36.4	67.0	69	0
23-May-1951 12:00:00	36.5	65.0	58	0
23-May-1951 18:00:00	37.1	63.6	52	0
24-May-1951 00:00:00	37.9	62.3	52	0
24-May-1951 06:00:00	38.7	61.2	52	0
24-May-1951 12:00:00	39.5	60.0	52	0
24-May-1951 18:00:00	40.1	59.2	52	0
##  2	BAKER	M = 15	SNBR =  805	
