##  1	ARLENE	M = 15	SNBR = 1000	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
04-Jul-1971 12:00:00	33.5	75.5	29	0
04-Jul-1971 18:00:00	34.0	75.2	29	0
05-Jul-1971 00:00:00	34.5	74.8	29	0
05-Jul-1971 06:00:00	35.2	74.3	35	0
05-Jul-1971 12:00:00	35.9	73.7	35	0
05-Jul-1971 18:00:00	36.7	72.9	52	1001
06-Jul-1971 00:00:00	37.6	71.8	52	0
06-Jul-1971 06:00:00	38.5	70.1	52	0
06-Jul-1971 12:00:00	39.6	68.3	58	1003
06-Jul-1971 18:00:00	40.7	65.9	63	1000
07-Jul-1971 00:00:00	41.8	63.0	58	1000
07-Jul-1971 06:00:00	43.1	59.5	52	1002
07-Jul-1971 12:00:00	44.7	56.3	52	0
07-Jul-1971 18:00:00	46.5	53.0	52	0
08-Jul-1971 00:00:00	47.6	49.6	40	0
##  2	NOT NAMED	M = 17	SNBR = 1001	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
03-Aug-1971 12:00:00	31.0	63.5	17	0
03-Aug-1971 18:00:00	31.5	64.0	17	0
04-Aug-1971 00:00:00	32.0	64.5	17	0
04-Aug-1971 06:00:00	32.6	64.9	17	0
04-Aug-1971 12:00:00	33.5	65.0	17	1015
04-Aug-1971 18:00:00	34.6	64.6	17	0
05-Aug-1971 00:00:00	36.0	63.5	23	1013
05-Aug-1971 06:00:00	37.7	61.8	29	0
05-Aug-1971 12:00:00	39.5	60.0	35	0
05-Aug-1971 18:00:00	40.5	58.5	46	1000
06-Aug-1971 00:00:00	41.5	56.0	58	0
06-Aug-1971 06:00:00	43.4	52.6	69	0
06-Aug-1971 12:00:00	46.0	49.0	86	974
06-Aug-1971 18:00:00	50.0	46.0	81	0
07-Aug-1971 00:00:00	53.0	45.0	81	0
07-Aug-1971 06:00:00	55.7	43.8	81	0
07-Aug-1971 12:00:00	58.0	43.0	81	976
##  3	BETH	M = 29	SNBR = 1002	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
10-Aug-1971 12:00:00	26.7	79.9	23	0
10-Aug-1971 18:00:00	26.8	79.3	23	1013
11-Aug-1971 00:00:00	27.4	78.5	23	0
11-Aug-1971 06:00:00	28.0	78.3	29	0
11-Aug-1971 12:00:00	28.8	78.1	29	0
11-Aug-1971 18:00:00	29.7	77.7	35	1010
12-Aug-1971 00:00:00	30.7	77.2	35	0
12-Aug-1971 06:00:00	31.5	76.7	35	0
12-Aug-1971 12:00:00	32.3	76.3	35	0
12-Aug-1971 18:00:00	32.7	76.0	35	0
13-Aug-1971 00:00:00	33.2	75.3	35	0
13-Aug-1971 06:00:00	33.3	74.7	35	1007
13-Aug-1971 12:00:00	33.5	74.1	35	0
13-Aug-1971 18:00:00	33.7	73.5	35	0
14-Aug-1971 00:00:00	33.9	73.1	35	1004
14-Aug-1971 06:00:00	34.2	72.7	35	0
14-Aug-1971 12:00:00	34.4	72.3	52	995
14-Aug-1971 18:00:00	35.8	71.0	63	0
15-Aug-1971 00:00:00	37.2	69.9	81	990
15-Aug-1971 06:00:00	38.4	68.5	81	982
15-Aug-1971 12:00:00	39.7	67.2	86	977
15-Aug-1971 18:00:00	40.8	65.8	86	0
16-Aug-1971 00:00:00	42.0	64.5	75	978
16-Aug-1971 06:00:00	43.2	63.3	75	979
16-Aug-1971 12:00:00	44.0	62.5	75	984
16-Aug-1971 18:00:00	45.3	61.5	75	0
17-Aug-1971 00:00:00	46.7	60.2	69	998
