##  1	ALLISON	M = 55	SNBR = 1303	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
05-Jun-2001 12:00:00	27.5	95.0	46	1007
05-Jun-2001 18:00:00	28.5	95.3	58	1002
06-Jun-2001 00:00:00	29.3	95.3	52	1003
06-Jun-2001 06:00:00	30.1	95.2	35	1006
06-Jun-2001 12:00:00	31.0	95.2	23	1005
06-Jun-2001 18:00:00	31.5	95.0	23	1005
07-Jun-2001 00:00:00	31.6	95.0	23	1005
07-Jun-2001 06:00:00	31.8	94.9	23	1006
07-Jun-2001 12:00:00	31.4	94.9	23	1006
07-Jun-2001 18:00:00	31.1	95.0	17	1007
08-Jun-2001 00:00:00	30.9	95.6	17	1002
08-Jun-2001 06:00:00	30.7	96.1	23	1004
08-Jun-2001 12:00:00	30.4	96.2	23	1007
08-Jun-2001 18:00:00	30.2	96.1	23	1007
09-Jun-2001 00:00:00	29.9	95.9	23	1007
09-Jun-2001 06:00:00	29.6	95.8	23	1007
09-Jun-2001 12:00:00	29.3	95.8	23	1007
09-Jun-2001 18:00:00	28.9	95.6	23	1008
10-Jun-2001 00:00:00	28.6	95.2	23	1008
10-Jun-2001 06:00:00	28.6	94.7	29	1007
10-Jun-2001 12:00:00	28.7	94.3	29	1006
10-Jun-2001 18:00:00	28.8	93.5	35	1006
11-Jun-2001 00:00:00	29.1	92.3	35	1005
11-Jun-2001 06:00:00	30.0	90.5	40	1003
11-Jun-2001 12:00:00	30.7	89.4	46	1000
11-Jun-2001 18:00:00	31.0	88.4	40	1002
12-Jun-2001 00:00:00	31.3	87.4	29	1004
12-Jun-2001 06:00:00	31.8	86.1	23	1005
12-Jun-2001 12:00:00	32.4	84.7	23	1006
12-Jun-2001 18:00:00	32.8	83.6	23	1006
13-Jun-2001 00:00:00	33.1	82.6	23	1006
13-Jun-2001 06:00:00	33.4	81.6	29	1004
13-Jun-2001 12:00:00	33.7	80.7	29	1005
13-Jun-2001 18:00:00	34.0	79.6	29	1006
14-Jun-2001 00:00:00	34.3	78.5	29	1006
14-Jun-2001 06:00:00	34.6	77.9	29	1006
14-Jun-2001 12:00:00	34.7	77.7	29	1007
14-Jun-2001 18:00:00	34.6	77.6	29	1008
15-Jun-2001 00:00:00	34.6	77.2	29	1008
15-Jun-2001 06:00:00	34.9	77.0	29	1008
