Number	Timestamp	Pressure
##  1	NOT NAMED	M = 0	SNBR =  294
##  2	NOT NAMED	M = 0	SNBR =  295
##  3	NOT NAMED	M = 1	SNBR =  296
3	19-Aug-1891 00:00:00	961
##  4	NOT NAMED	M = 0	SNBR =  297
##  5	NOT NAMED	M = 0	SNBR =  298
##  6	NOT NAMED	M = 0	SNBR =  299
##  7	NOT NAMED	M = 1	SNBR =  300
7	07-Oct-1891 18:00:00	1004
##  8	NOT NAMED	M = 0	SNBR =  301
##  9	NOT NAMED	M = 0	SNBR =  302
## 10	NOT NAMED	M = 0	SNBR =  303
##  1	NOT NAMED	M = 0	SNBR =  304
##  2	NOT NAMED	M = 0	SNBR =  305
##  3	NOT NAMED	M = 0	SNBR =  306
##  4	NOT NAMED	M = 0	SNBR =  307
##  5	NOT NAMED	M = 0	SNBR =  308
##  6	NOT NAMED	M = 0	SNBR =  309
##  7	NOT NAMED	M = 0	SNBR =  310
##  8	NOT NAMED	M = 0	SNBR =  311
##  9	NOT NAMED	M = 0	SNBR =  312
##  1	NOT NAMED	M = 0	SNBR =  313
##  2	NOT NAMED	M = 0	SNBR =  314
##  3	NOT NAMED	M = 0	SNBR =  315
##  4	NOT NAMED	M = 2	SNBR =  316
4	23-Aug-1893 00:00:00	952
4	24-Aug-1893 12:00:00	986
##  5	NOT NAMED	M = 0	SNBR =  317
##  6	NOT NAMED	M = 3	SNBR =  318
6	22-Aug-1893 06:00:00	972
6	28-Aug-1893 00:00:00	954
6	28-Aug-1893 06:00:00	958
##  7	NOT NAMED	M = 0	SNBR =  319
##  8	NOT NAMED	M = 0	SNBR =  320
##  9	NOT NAMED	M = 1	SNBR =  321
9	13-Oct-1893 12:00:00	955
## 10	NOT NAMED	M = 1	SNBR =  322
10	02-Oct-1893 06:00:00	948
## 11	NOT NAMED	M = 0	SNBR =  323
## 12	NOT NAMED	M = 0	SNBR =  324
##  1	NOT NAMED	M = 0	SNBR =  325
##  2	NOT NAMED	M = 0	SNBR =  326
##  3	NOT NAMED	M = 1	SNBR =  327
3	08-Sep-1894 00:00:00	948
##  4	NOT NAMED	M = 2	SNBR =  328
4	24-Sep-1894 18:00:00	994
4	25-Sep-1894 12:00:00	985
##  5	NOT NAMED	M = 0	SNBR =  329
##  6	NOT NAMED	M = 1	SNBR =  330
6	16-Oct-1894 18:00:00	931
##  7	NOT NAMED	M = 1	SNBR =  331
7	29-Oct-1894 00:00:00	955
##  1	NOT NAMED	M = 0	SNBR =  332
##  2	NOT NAMED	M = 0	SNBR =  333
##  3	NOT NAMED	M = 0	SNBR =  334
##  4	NOT NAMED	M = 0	SNBR =  335
##  5	NOT NAMED	M = 0	SNBR =  336
##  6	NOT NAMED	M = 0	SNBR =  337
##  1	NOT NAMED	M = 0	SNBR =  338
##  2	NOT NAMED	M = 1	SNBR =  339
2	07-Sep-1896 00:00:00	956
##  3	NOT NAMED	M = 0	SNBR =  340
##  4	NOT NAMED	M = 5	SNBR =  341
4	29-Sep-1896 06:00:00	960
4	29-Sep-1896 12:00:00	963
4	29-Sep-1896 18:00:00	973
4	30-Sep-1896 00:00:00	988
4	30-Sep-1896 06:00:00	987
##  5	NOT NAMED	M = 0	SNBR =  342
##  6	NOT NAMED	M = 0	SNBR =  343
##  7	NOT NAMED	M = 0	SNBR =  344
##  1	NOT NAMED	M = 0	SNBR =  345
##  2	NOT NAMED	M = 0	SNBR =  346
##  3	NOT NAMED	M = 0	SNBR =  347
##  4	NOT NAMED	M = 0	SNBR =  348
##  5	NOT NAMED	M = 0	SNBR =  349
##  6	NOT NAMED	M = 0	SNBR =  350
##  1	NOT NAMED	M = 0	SNBR =  351
##  2	NOT NAMED	M = 0	SNBR =  352
##  3	NOT NAMED	M = 0	SNBR =  353
##  4	NOT NAMED	M = 1	SNBR =  354
4	11-Sep-1898 18:00:00	965
##  5	NOT NAMED	M = 0	SNBR =  355
##  6	NOT NAMED	M = 0	SNBR =  356
##  7	NOT NAMED	M = 2	SNBR =  357
7	27-Sep-1898 18:00:00	977
7	02-Oct-1898 12:00:00	938
##  8	NOT NAMED	M = 1	SNBR =  358
8	26-Sep-1898 12:00:00	1008
##  9	NOT NAMED	M = 0	SNBR =  359
## 10	NOT NAMED	M = 0	SNBR =  360
## 11	NOT NAMED	M = 0	SNBR =  361
##  1	NOT NAMED	M = 0	SNBR =  362
##  2	NOT NAMED	M = 1	SNBR =  363
2	01-Aug-1899 18:00:00	979
##  3	NOT NAMED	M = 3	SNBR =  364
3	03-Aug-1899 18:00:00	995
3	07-Aug-1899 18:00:00	930
3	08-Aug-1899 12:00:00	940
##  4	NOT NAMED	M = 0	SNBR =  365
##  5	NOT NAMED	M = 1	SNBR =  366
5	13-Sep-1899 06:00:00	939
##  6	NOT NAMED	M = 0	SNBR =  367
##  7	NOT NAMED	M = 0	SNBR =  368
##  8	NOT NAMED	M = 0	SNBR =  369
##  9	NOT NAMED	M = 0	SNBR =  370
## 10	NOT NAMED	M = 0	SNBR =  371
##  1	NOT NAMED	M = 2	SNBR =  372
1	06-Sep-1900 18:00:00	974
1	09-Sep-1900 00:00:00	936
##  2	NOT NAMED	M = 0	SNBR =  373
##  3	NOT NAMED	M = 0	SNBR =  374
##  4	NOT NAMED	M = 0	SNBR =  375
##  5	NOT NAMED	M = 0	SNBR =  376
##  6	NOT NAMED	M = 0	SNBR =  377
##  7	NOT NAMED	M = 0	SNBR =  378
