Number	Timestamp	Windspeed
##  1	NOT NAMED	M = 21	SNBR =  294
1	03-Jul-1891 06:00:00	40
1	03-Jul-1891 12:00:00	52
1	03-Jul-1891 18:00:00	63
1	04-Jul-1891 00:00:00	75
1	04-Jul-1891 06:00:00	86
1	04-Jul-1891 12:00:00	92
1	04-Jul-1891 18:00:00	92
1	05-Jul-1891 00:00:00	92
1	05-Jul-1891 06:00:00	92
1	05-Jul-1891 12:00:00	92
1	05-Jul-1891 18:00:00	92
1	06-Jul-1891 00:00:00	81
1	06-Jul-1891 06:00:00	69
1	06-Jul-1891 12:00:00	63
1	06-Jul-1891 18:00:00	58
1	07-Jul-1891 00:00:00	52
1	07-Jul-1891 06:00:00	46
1	07-Jul-1891 12:00:00	40
1	07-Jul-1891 18:00:00	35
1	08-Jul-1891 00:00:00	29
1	08-Jul-1891 06:00:00	29
##  2	NOT NAMED	M = 51	SNBR =  295
2	17-Aug-1891 06:00:00	40
2	17-Aug-1891 12:00:00	40
2	17-Aug-1891 18:00:00	40
2	18-Aug-1891 00:00:00	40
2	18-Aug-1891 06:00:00	46
2	18-Aug-1891 12:00:00	58
2	18-Aug-1891 18:00:00	69
2	19-Aug-1891 00:00:00	75
2	19-Aug-1891 06:00:00	75
2	19-Aug-1891 12:00:00	75
2	19-Aug-1891 18:00:00	75
2	20-Aug-1891 00:00:00	75
2	20-Aug-1891 06:00:00	75
2	20-Aug-1891 12:00:00	75
2	20-Aug-1891 18:00:00	75
2	21-Aug-1891 00:00:00	75
2	21-Aug-1891 06:00:00	75
2	21-Aug-1891 12:00:00	75
2	21-Aug-1891 18:00:00	75
2	22-Aug-1891 00:00:00	75
2	22-Aug-1891 06:00:00	75
2	22-Aug-1891 12:00:00	75
2	22-Aug-1891 18:00:00	75
2	23-Aug-1891 00:00:00	75
2	23-Aug-1891 06:00:00	75
2	23-Aug-1891 12:00:00	75
2	23-Aug-1891 18:00:00	75
2	24-Aug-1891 00:00:00	75
